user_id	nickname	sex	age	education_level	constellation	waist_circumference	height	body_type	colour	income	brand	married	pregnant_inhouse	child	child_age	child_sex	car	house	purchase_group	active_level	purchase_type	evaluate_concern	sale_sensitive	purchase_potential	purchase_loyalty	purchase_ability	purchase_credit	food	hotel	tourist	entertainment	first_traffic	second_traffic	
82	p3bchnRO	0	5	3	4	17	171	2	3	39812	1	0	1	1	27	0	0	0	1	5	4	8	3	5	2	10	10	1001001	011	0001111100	1111001110	3	6	
83	AeybVuOq	0	66	1	8	69	179	1	2	92950	5	0	0	0	29	0	0	0	8	4	1	1	8	2	5	7	5	0111110	111	0010101000	1011110001	5	1	
84	wlCvZtNz	0	34	1	12	53	166	1	9	26997	2	1	1	1	41	0	0	0	1	7	1	9	3	3	10	3	9	1111101	110	0100100000	1000011001	5	5	
85	uEsqvPtV	1	5	5	8	54	171	1	5	92373	8	0	0	1	3	0	0	0	1	7	6	5	10	4	3	1	3	0010011	001	1110101100	1100011010	3	4	
86	5AHYb9zf	1	27	4	2	72	159	1	9	45164	8	1	1	1	42	0	1	1	3	6	4	9	9	8	6	5	6	1100101	011	1011110000	0011000110	5	2	
87	TwrYWXZn	1	14	5	3	45	144	1	2	62073	10	0	0	0	1	1	1	1	8	10	10	9	5	6	1	5	6	1110110	101	1000010010	0111001101	2	1	
88	3dfULjy9	1	3	3	2	63	176	3	8	35172	9	1	0	0	1	0	0	1	7	1	9	4	5	3	7	2	3	0010101	011	1000010101	1010010100	3	6	
89	zOlecUt8	1	76	1	6	76	185	3	8	17517	10	1	1	1	14	1	0	0	4	1	5	5	1	10	2	9	1	1111010	101	0111100111	1000000001	2	5	
90	B1tNWbZ2	1	54	3	6	37	150	1	6	93314	2	0	1	1	7	0	1	1	8	10	6	10	5	2	2	5	5	0101110	110	1010001011	1101011111	5	6	
91	YrK30exf	0	6	4	10	48	151	2	10	33400	9	0	1	0	42	1	1	1	2	7	4	1	4	1	4	4	5	1001010	110	1110101011	0101010000	1	4	
92	xwBJ7FGL	0	67	1	7	23	147	1	1	99646	5	0	0	0	29	0	0	1	5	3	4	1	8	3	10	3	10	1011111	010	0100000111	0000110110	4	1	
93	Cm9GrWyR	1	42	5	9	52	170	3	9	74319	5	1	1	1	17	1	0	1	7	4	6	8	4	2	3	8	4	1110111	110	1111111001	1101001000	4	5	
94	IEGb2euL	0	75	5	7	22	151	1	5	30363	6	1	0	1	45	1	0	0	10	8	1	10	3	6	9	7	6	1100000	111	1110111100	1110111110	2	1	
95	EyrMTZDu	1	51	4	1	47	185	2	8	27441	6	1	1	0	30	0	0	0	7	10	8	2	3	2	3	6	6	0100110	111	1010011111	0011100011	2	6	
96	2pNgWK7M	0	66	4	2	48	151	1	8	83337	2	0	0	1	12	0	0	0	5	10	8	3	5	5	6	6	8	1100110	111	0010111010	0100010000	3	6	
97	1kpN34iU	0	47	3	9	68	185	1	8	33161	10	0	1	0	48	1	1	1	6	10	9	7	3	1	8	2	6	1011000	110	0111001011	1110110010	3	6	
98	9lW1zypg	1	37	2	11	43	167	2	7	94054	9	0	1	1	46	0	1	0	1	6	8	1	8	10	10	1	7	0011101	101	1010010110	0000000000	2	5	
99	8va6YnsC	0	28	2	2	70	179	2	7	36275	10	1	0	0	24	0	1	0	4	7	5	3	2	1	6	2	7	0010100	000	0101000010	0101101111	3	4	
100	QCBU1Jvk	1	71	2	1	32	186	3	9	5533	6	0	1	1	20	1	1	0	3	3	9	1	1	8	7	5	1	1001010	000	1010111001	1111010000	4	1	
101	Hx32BXDz	0	21	4	1	29	167	2	5	36769	9	0	0	0	6	1	0	0	9	1	1	8	8	5	5	2	9	1110100	111	1001101000	1101011011	2	6	
102	4HkgL27C	1	63	5	2	35	144	1	4	51173	8	1	0	0	10	1	0	0	9	2	2	9	7	7	3	9	2	0111100	011	1010011101	0111111110	5	6	
103	HAeFBN2S	1	70	2	5	33	180	3	10	7079	3	1	1	0	32	1	0	1	10	4	1	9	6	5	4	3	5	0110110	001	0110010001	1000011101	6	3	
104	SsHpAhqj	0	45	1	4	69	199	3	9	43096	4	0	0	0	28	0	0	0	8	10	2	9	3	7	2	7	2	0111110	101	1101100000	1001100100	3	6	
105	YHofyk9J	1	37	1	7	27	180	2	5	79819	4	1	0	0	25	1	1	0	8	8	6	8	7	8	10	6	4	0010000	101	0010010110	0011110100	3	2	
106	YlFy9WzR	0	64	1	4	11	195	2	8	2561	4	1	0	0	14	1	0	1	4	9	2	9	9	2	7	4	10	0011100	011	1111101100	1001001010	5	1	
107	yeIKVmvZ	1	77	4	8	18	183	2	9	31226	5	1	0	0	24	0	1	1	4	1	9	6	1	1	5	3	1	0011000	101	1011011101	0101000111	4	1	
108	DyZiF9Vk	0	60	5	10	46	174	3	1	70119	2	0	0	1	10	1	0	1	2	2	3	4	9	3	3	9	8	0000111	011	1110100110	0101001111	1	6	
109	8wMAoIrd	0	54	1	11	60	161	1	6	44572	9	1	1	1	10	1	1	0	7	2	9	7	8	3	9	7	3	0010010	111	1001100001	1001000011	1	2	
110	vEw7lxkW	1	70	4	8	11	153	1	3	59629	3	1	0	1	38	1	1	1	8	10	8	6	6	4	8	7	7	0001010	011	0111100100	0000111100	4	2	
111	XnpJfG2Z	1	13	2	9	42	154	3	9	74416	7	0	1	0	36	1	0	1	8	6	9	4	1	2	4	4	6	0100111	101	1001000010	0011111000	4	6	
112	f4anYiLV	1	51	2	4	13	161	1	3	13958	2	0	0	0	34	0	1	0	3	9	3	2	10	8	4	4	5	0101111	011	1111100000	0010000000	4	4	
113	eTgvY0h5	0	7	4	7	75	183	1	9	64290	5	0	1	0	33	0	0	1	10	1	2	8	6	8	8	1	2	1000111	100	1110110010	0110000101	4	3	
114	TuKavC7x	0	39	4	10	29	189	2	6	58640	3	1	0	1	25	1	1	1	6	1	3	5	8	4	5	4	2	0011011	010	1111001001	1110000011	6	3	
115	lYabtgmI	1	34	3	4	61	163	3	8	46437	3	0	1	0	13	1	1	1	7	5	8	10	5	7	6	6	5	1001111	101	0100000010	0101101100	5	3	
116	m5Qp1VO4	1	20	2	3	15	158	1	4	90006	9	1	0	0	20	0	0	0	8	8	10	5	7	8	6	7	2	0001111	110	0000100101	0010011000	6	3	
117	tpZ6OHjE	1	14	4	8	69	147	2	3	89371	10	1	0	0	22	1	1	0	9	5	6	1	1	5	8	2	2	1011100	010	0101101001	1000011111	1	6	
118	sJogx6UT	0	44	3	3	27	179	2	3	16435	4	1	0	1	38	0	1	0	7	6	5	5	4	5	2	5	3	0001010	010	1000000001	0100011010	4	1	
119	V17CBZpn	1	68	3	4	78	174	2	5	10542	2	1	1	1	15	0	1	0	5	4	2	5	10	5	5	8	1	1111000	100	0000010000	1101101011	2	1	
120	J9uG3SbC	1	17	5	3	35	173	1	1	50751	10	1	1	0	33	0	1	0	9	5	8	5	10	4	3	3	7	1111111	101	1101100000	0000011000	2	5	
121	C3RSQzp2	1	6	1	7	34	172	2	7	73485	7	0	0	1	39	0	0	0	3	9	3	6	3	9	2	9	10	0110011	001	0010101101	1110011100	1	2	
122	lo8nVaxv	1	3	3	11	35	164	1	5	71656	3	0	1	0	12	1	0	1	7	6	9	5	10	4	1	9	8	1111010	010	0010011111	0101100011	4	2	
123	lbBGdkci	1	16	1	1	68	143	2	4	17141	7	1	0	1	9	1	0	0	9	10	5	5	3	4	4	10	7	0100111	010	0101010101	0100011011	4	4	
124	OdN1KIlm	1	72	3	10	66	145	1	6	8387	5	0	1	0	50	1	0	1	8	2	4	8	10	2	6	4	9	0011111	101	0101001111	0111100000	3	5	
125	B7bQP2Uh	1	63	1	1	44	164	3	7	40764	4	0	0	1	5	0	0	0	7	6	8	7	6	7	9	9	7	1100010	000	0001110000	1011111100	4	3	
126	6C2dMqsf	1	22	2	11	53	162	1	6	75966	1	0	1	1	45	0	1	0	3	1	10	9	4	1	1	3	9	0000011	010	1011001110	1110011101	2	6	
127	GQ1PmgX8	1	48	3	8	57	158	3	3	72258	6	1	0	0	3	1	1	0	8	8	3	2	3	10	1	3	3	1101000	101	1011001001	1110110110	3	6	
128	s578NKA0	0	9	4	4	37	184	3	9	74932	5	0	0	0	32	0	1	0	1	6	8	8	10	7	7	10	9	0010010	011	0110101100	0010111011	6	4	
129	wLOezSjd	1	57	5	3	50	152	2	8	610	1	1	0	0	5	0	0	0	2	6	8	2	7	5	10	2	5	1111001	010	1010000000	0010101101	4	5	
130	9ZNIRHxl	1	5	5	10	65	151	3	9	75961	6	0	1	1	42	1	1	1	1	6	9	8	7	8	4	8	6	1100100	010	0111010100	0110111001	6	4	
131	DRi8mMQG	0	53	4	12	74	173	1	4	48662	5	0	0	1	24	1	0	0	4	8	8	6	2	9	5	8	3	1001110	111	0111100100	0011001100	4	6	
132	VgGQUWrE	0	79	5	8	67	143	3	10	82666	3	0	1	0	47	1	1	0	9	7	1	1	8	9	6	4	7	0111110	101	1000110101	1000101010	5	6	
133	9Flcr7fA	1	71	2	9	19	192	3	5	52526	6	1	0	0	11	0	0	0	6	9	5	8	9	8	9	5	9	1101111	100	0110001101	1011000000	1	6	
134	khM9w5iZ	1	70	3	4	25	160	2	7	33137	7	0	1	0	25	0	1	1	4	4	2	6	2	7	10	2	9	0010111	010	0001000001	1000010110	3	4	
135	EFxieHRO	1	59	4	6	57	174	3	10	62282	8	1	0	1	14	1	0	1	10	1	5	1	6	4	7	9	4	0010000	001	1000111010	0110111010	5	3	
136	bowBkSsj	1	18	5	5	58	170	3	1	37105	2	0	1	0	12	0	0	1	7	9	3	5	10	8	7	6	6	1111010	100	0001000110	0010011110	5	2	
137	iewov3cq	1	29	1	12	30	140	2	5	39940	9	1	0	1	31	1	1	1	7	10	9	1	6	3	6	8	2	1001100	111	1010011000	1101111100	3	3	
138	KgvFqQ9o	0	74	1	6	52	166	1	9	38899	1	1	0	1	37	0	0	0	9	6	9	1	6	1	1	7	2	0000001	101	0010000001	0101100011	5	1	
139	qbAy1Vxj	1	20	3	11	36	186	1	8	70310	7	0	1	0	2	0	1	0	6	1	10	8	1	5	7	6	7	1100011	000	1100110000	0110001100	4	4	
140	xk1ZmbUo	1	28	5	10	73	158	3	5	60935	6	0	1	1	5	1	0	0	7	9	9	10	2	2	8	8	1	1000111	010	0101011111	0101111110	1	3	
141	XiTa4Coy	1	14	1	2	33	180	3	6	24425	10	0	0	1	27	0	0	0	6	5	7	4	7	7	1	9	6	1101110	011	0000010110	1111110100	3	3	
142	SZaFP7Vw	1	63	2	2	56	181	2	8	49087	10	1	1	0	33	0	1	1	5	6	10	5	3	2	4	2	4	0101010	011	1111000101	0001001110	2	6	
143	kgFtl3rO	0	8	3	4	59	184	3	4	40022	2	0	1	1	33	1	0	0	9	3	10	5	5	5	6	6	8	0111011	111	1110110000	1111011111	6	1	
144	9iOANDnj	0	27	1	7	74	174	3	8	60631	3	1	0	1	14	1	0	0	3	9	10	7	9	1	7	1	4	1010111	000	0011000001	0001011000	5	1	
145	FBoGRtfV	0	39	3	11	30	169	2	8	85202	6	0	0	1	36	0	1	0	6	2	3	10	1	3	9	9	2	1010010	001	1110001011	0011101001	1	3	
146	NqSCU8g4	0	24	1	7	61	175	1	4	30226	5	0	1	0	27	1	0	0	2	8	8	10	5	6	2	2	3	0011000	001	1000010101	0011110101	2	6	
147	WdDrLbHU	0	66	1	12	31	143	1	8	96226	2	1	1	0	50	1	1	0	7	6	6	8	3	6	9	8	2	0011111	101	0111001100	1001101111	5	4	
148	0DceVY6h	1	55	5	7	49	192	3	8	90754	7	1	1	1	43	0	1	1	2	5	3	9	4	7	8	8	10	1110010	100	0100111100	0010010100	3	3	
149	MObi1rCc	1	72	1	7	62	169	2	7	13903	8	1	1	1	9	1	1	1	2	8	6	8	6	6	6	7	10	1000110	001	1111001111	1000100100	2	6	
150	tKYz4iZI	1	55	3	10	70	179	2	10	45297	9	0	1	0	47	0	1	0	3	1	8	5	1	10	9	8	5	1010000	101	0111100100	0011011111	6	4	
151	gR3FsPOc	1	3	5	4	68	184	3	9	81654	5	1	1	0	25	1	0	0	10	7	5	10	3	2	7	3	9	0001010	101	1101110101	0011110000	2	3	
152	iNV6IRHz	0	45	5	12	75	147	1	3	66236	2	1	1	0	17	1	0	0	5	9	2	1	9	7	5	4	9	0100001	110	0110100001	1101010101	5	3	
153	cXDBz3Kh	1	71	3	9	77	164	2	9	8959	4	0	0	1	25	1	0	0	4	7	6	2	6	1	7	2	4	0011001	001	1010000010	0010011110	1	2	
154	A3Bh20aZ	1	66	3	8	77	141	1	6	70837	3	1	1	0	31	0	0	1	4	6	4	2	10	3	2	10	6	0110100	010	1001000000	0101000011	5	6	
155	a3QuIXvk	1	38	5	2	38	141	2	2	76470	2	1	1	0	48	1	1	1	4	9	8	4	1	8	7	9	5	1010110	100	0110111101	0111001111	5	5	
156	Rq3iJkKo	1	66	4	7	76	142	2	1	44390	7	0	1	0	34	1	0	1	5	4	5	9	5	9	1	10	8	1000101	111	0111101100	0010010000	4	1	
157	N43dsXf9	1	56	3	8	37	155	3	1	84171	1	1	1	0	24	0	1	1	2	5	8	6	4	7	2	2	5	1010011	001	1111100111	1100111101	2	5	
158	h7Ebtw03	0	20	3	7	31	180	3	10	45107	6	0	0	1	40	1	1	1	6	3	3	4	1	7	9	2	7	0000111	101	1011010111	1010110100	4	3	
159	xlSTFXtr	1	78	5	9	69	182	2	1	13080	9	0	0	0	7	0	0	1	5	5	2	9	3	2	4	4	5	0001101	000	1110110100	1010110001	5	4	
160	82mcDZ4C	1	56	1	3	77	171	2	1	81289	9	1	0	0	5	1	0	1	9	3	4	9	2	9	5	8	7	1111000	000	0000101111	1010111110	4	3	
161	tK5vhGjJ	1	71	1	2	52	140	3	10	1987	5	1	0	1	48	0	1	0	9	10	10	2	8	6	2	5	10	1101111	001	1000101010	0010011101	3	2	
